,DIAG_min,DIAG_max,FULL_min,FULL_max,EUC_min,EUC_max,1
10,0.93690300753513,1.08815221749054,0.894624283797791,1.11882477293192,0.925349856285299,1.11362885125968,1
15,0.931950923087248,1.08279325724523,0.908622690974176,1.106881740655,0.910297078411679,1.13229357089464,1
20,0.931762397160393,1.0842859009092,0.909865517139914,1.09673658944928,0.898962165093353,1.12434975771995,1
25,0.935869037034924,1.07149216864849,0.921477710608842,1.08906291612691,0.903095277901587,1.12950144685286,1
30,0.943752310682707,1.06670935896648,0.9260600822176,1.08480672390649,0.900246125074001,1.1232494894641,1
35,0.943190393369128,1.06468673516644,0.934274674587104,1.07241699076381,0.902659462989663,1.12464773545753,1
40,0.946663619001215,1.05776378571279,0.937946581521595,1.06856884107107,0.902436848420812,1.11707241694769,1
45,0.949755178700505,1.0557495362669,0.940589953960785,1.06617993798325,0.900183323107534,1.11777484860613,1
50,0.951400263842624,1.05362970398084,0.94418882085459,1.06222761699527,0.909345261619911,1.11389039724435,1
55,0.95465624254581,1.05192799896103,0.944975345869451,1.05734030407981,0.906553915112854,1.10810626873681,1
60,0.956927640987965,1.04727890485711,0.949837956547392,1.05452821687197,0.915509444460897,1.10528545195261,1
65,0.958310042422147,1.04721210753052,0.951923987745697,1.05200459965133,0.913420942788868,1.09906009349384,1
70,0.960347404998316,1.0443176210776,0.95437219343564,1.04939616316583,0.912547426462263,1.10210918476491,1
75,0.960989421131253,1.04235758686028,0.956523435518095,1.04718064261925,0.91588310861051,1.09847873693491,1
80,0.962470590108226,1.04115322936093,0.95791556421222,1.04803415078505,0.91461027005782,1.10129449585981,1
