NNprd;NNtime;KRprd;KRtime
0.0823937908496732;0.006565904617309571;0.34318627450980393;0.011763358116149902
0.06556952662721892;0.006608617305755615;0.3081952662721893;0.011495084762573242
0.10999237223493516;0.005243062973022461;0.334508009153318;0.012080450057983399
0.0611906556141673;0.005547630786895752;0.27630746043707616;0.01096590518951416
0.08676691729323308;0.0054373621940612795;0.3077142857142858;0.011919999122619629
0.11316181953765847;0.005064964294433594;0.3156450410141685;0.012485156059265137
0.09716981132075472;0.005068755149841309;0.3039396226415095;0.01223714828491211
0.05697318007662835;0.0045710325241088865;0.27367049808429117;0.012875723838806152
0.08637510513036166;0.005426788330078125;0.3567703952901598;0.011859736442565917
0.10568356374807988;0.004737138748168945;0.3473271889400923;0.012103981971740722
